estim	class	model
./libsolidestim.so	deer	0.624076 0.0644534
./libspineestim.so	lizzard	679.267 194.128
./libbasicestim.so	lizzard	0.4535 0.210814 0.0338317 0.0258654
./libsolidestim.so	lizzard	0.674266 0.184719
./libspineestim.so	device1	429.733 120.055
./libbasicestim.so	device1	0.528963 0.211101 0.021158 0.00591799
./libsolidestim.so	device1	0.857539 0.0763413
./libspineestim.so	device5	533.267 52.1248
./libbasicestim.so	device5	0.555886 0.246189 0.0195217 0.0121366
./libsolidestim.so	device5	0.954807 0.0508206
./libspineestim.so	jar	309.933 120.15
./libbasicestim.so	jar	0.529268 0.21171 0.0082238 0.0103625
./libsolidestim.so	jar	0.96656 0.0127369
./libspineestim.so	watch	714.6 116.133
./libbasicestim.so	watch	0.459295 0.269763 0.0113348 0.00680826
./libsolidestim.so	watch	0.810904 0.0391632
./libspineestim.so	shoe	360.6 36.7347
./libbasicestim.so	shoe	0.480116 0.221704 0.00658828 0.0063299
./libsolidestim.so	shoe	0.923934 0.0187954
./libspineestim.so	face	8.4 7.26453
./libbasicestim.so	face	0.496854 0.203528 0.00233529 0.00260513
./libsolidestim.so	face	0.963953 0.00445963
./libspineestim.so	hat	374.067 153.159
./libbasicestim.so	hat	0.502783 0.204236 0.0452107 0.00967139
./libsolidestim.so	hat	0.902815 0.068284
./libspineestim.so	bird	699.4 58.4064
./libbasicestim.so	bird	0.448441 0.224263 0.0132921 0.00958099
./libsolidestim.so	bird	0.815306 0.0633815
./libspineestim.so	guitar	534 121.931
./libbasicestim.so	guitar	0.365325 0.219958 0.0260619 0.0108494
./libsolidestim.so	guitar	0.87322 0.0731759
./libspineestim.so	Glas	680.6 147.256
./libbasicestim.so	Glas	0.447789 0.209695 0.019789 0.00555295
./libsolidestim.so	Glas	0.512127 0.0306387
./libspineestim.so	sea_snake	959.333 239.267
./libbasicestim.so	sea_snake	0.495879 0.189466 0.0543232 0.035254
./libsolidestim.so	sea_snake	0.669527 0.22741
./libspineestim.so	chopper	631.067 57.3463
./libbasicestim.so	chopper	0.380528 0.1744 0.019804 0.00600085
./libsolidestim.so	chopper	0.897616 0.0559811
./libspineestim.so	octopus	625.733 113.233
./libbasicestim.so	octopus	0.535087 0.21086 0.0294982 0.0113536
./libsolidestim.so	octopus	0.846788 0.079777
./libspineestim.so	bell	552.4 94.2188
./libbasicestim.so	bell	0.486877 0.204141 0.0142071 0.00291797
./libsolidestim.so	bell	0.908953 0.0174093
./libspineestim.so	spring	1560.27 264.522
./libbasicestim.so	spring	0.6019 0.252954 0.0276705 0.0241609
./libsolidestim.so	spring	0.475794 0.215102
./libspineestim.so	device7	505.6 121.253
./libbasicestim.so	device7	0.50502 0.218522 0.0212787 0.00837087
./libsolidestim.so	device7	0.673905 0.0965888
./libspineestim.so	fly	595.933 110.756
./libbasicestim.so	fly	0.456804 0.212883 0.0207198 0.0107178
./libsolidestim.so	fly	0.698088 0.105635
./libspineestim.so	camel	554.133 80.2379
./libbasicestim.so	camel	0.487074 0.212826 0.0264096 0.0103669
./libsolidestim.so	camel	0.730941 0.0675845
./libspineestim.so	chicken	712.067 168.213
./libbasicestim.so	chicken	0.475505 0.203348 0.0414786 0.0132334
./libsolidestim.so	chicken	0.837572 0.0586609
./libspineestim.so	dog	694.467 96.6346
./libbasicestim.so	dog	0.473231 0.212686 0.0297983 0.00801297
./libsolidestim.so	dog	0.596653 0.0819844
./libspineestim.so	pencil	569.267 153.292
./libbasicestim.so	pencil	0.453881 0.253668 0.0287473 0.0146096
./libsolidestim.so	pencil	0.934139 0.0254405
./libspineestim.so	fountain	216.667 60.0019
./libbasicestim.so	fountain	0.481775 0.213799 0.0106946 0.00518682
./libsolidestim.so	fountain	0.989722 0.00223692
./libspineestim.so	Misk	439.933 180.224
./libbasicestim.so	Misk	0.55349 0.217567 0.0178302 0.00835966
./libsolidestim.so	Misk	0.844359 0.0307692
./libspineestim.so	beetle	747 151.44
./libbasicestim.so	beetle	0.402454 0.205023 0.0225863 0.00602271
./libsolidestim.so	beetle	0.673346 0.263595
./libspineestim.so	HCircle	118.2 175.252
./libbasicestim.so	HCircle	0.468824 0.197186 0.019113 0.00742899
./libsolidestim.so	HCircle	0.981075 0.0270045
./libspineestim.so	cup	569.4 178.941
./libbasicestim.so	cup	0.533488 0.21021 0.0336582 0.0125846
./libsolidestim.so	cup	0.987851 0.0092638
./libspineestim.so	bottle	614.133 20.3793
./libbasicestim.so	bottle	0.410864 0.226938 0.0154572 0.00686898
./libsolidestim.so	bottle	0.941166 0.0208082
./libspineestim.so	personal_car	412.4 157.756
./libbasicestim.so	personal_car	0.466745 0.225643 0.0145558 0.00751346
./libsolidestim.so	personal_car	0.906587 0.0203618
./libspineestim.so	butterfly	464.467 116.747
./libbasicestim.so	butterfly	0.486068 0.213875 0.0184977 0.00566565
./libsolidestim.so	butterfly	0.880159 0.0704751
./libspineestim.so	Comma	262.2 244.804
./libbasicestim.so	Comma	0.399291 0.186855 0.0251476 0.0105675
./libsolidestim.so	Comma	0.828133 0.0603392
./libspineestim.so	car	436.667 0
./libbasicestim.so	car	0.47284 0.230846 0.0197326 0.00457883
./libsolidestim.so	car	0.744012 0.144126
./libspineestim.so	frog	339 159.838
./libbasicestim.so	frog	0.492282 0.20229 0.021425 0.00688683
./libsolidestim.so	frog	0.895915 0.0479592
./libspineestim.so	horse	645.133 169.811 
./libbasicestim.so	horse	0.459037 0.224331 0.0423113 0.00753013 
./libsolidestim.so	horse	0.681252 0.166864 
./libspineestim.so	crown	
./libbasicestim.so	crown	0.464118 0.204471 0.0127931 0.0085641 
./libsolidestim.so	crown	0.852902 0.0669793 
